Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Is Pseudo	# Transcripts	# Exons in Gene	# Exons in Transcript	Gene Name or Symbol	Transcript Length
PBANKA_0006701	PBANKA_0006701.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:7,603..8,428(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	732
PBANKA_0006800	PBANKA_0006800.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:9,893..10,715(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0006900	PBANKA_0006900.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:12,183..13,005(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0007000	PBANKA_0007000.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:14,473..15,292(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	726
PBANKA_0007100	PBANKA_0007100.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:16,763..17,585(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0007200	PBANKA_0007200.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:19,053..19,875(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0007300	PBANKA_0007300.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:21,343..22,165(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0007401	PBANKA_0007401.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:23,498..24,711(-)	PIR protein	No	1	3	3	N/A	999
PBANKA_0007501	PBANKA_0007501.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:28,137..29,759(+)	fam-a protein	No	1	6	6	N/A	978
PBANKA_0007601	PBANKA_0007601.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:31,539..32,626(-)	PIR protein	No	1	3	3	N/A	891
PBANKA_0007701	PBANKA_0007701.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:1,120..2,672(+)	PIR protein, pseudogene	Yes	1	7	7	N/A	1458
PBANKA_0007801	PBANKA_0007801.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:6,017..6,911(+)	fam-b protein	No	1	3	3	N/A	723
PBANKA_0007901	PBANKA_0007901.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:9,729..10,923(+)	PIR protein	No	1	3	3	N/A	978
PBANKA_0008001	PBANKA_0008001.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:13,760..14,847(+)	PIR protein	No	1	3	3	N/A	891
PBANKA_0008101	PBANKA_0008101.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:16,627..18,240(-)	fam-a protein	No	1	6	6	N/A	969
PBANKA_0008201	PBANKA_0008201.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:21,666..22,876(+)	PIR protein	No	1	3	3	N/A	996
PBANKA_0008301	PBANKA_0008301.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_4:403..888(+)	PIR protein, pseudogene	Yes	1	3	3	N/A	483
PBANKA_0008401	PBANKA_0008401.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_4:2,673..3,454(+)	PIR protein, pseudogene	Yes	1	5	5	N/A	687
PBANKA_0008501	PBANKA_0008501.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_4:4,997..5,774(+)	PIR protein, pseudogene	Yes	1	5	5	N/A	681
PBANKA_0008601	PBANKA_0008601.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_4:7,228..8,044(+)	PIR protein, pseudogene	Yes	1	3	3	N/A	726
PBANKA_0008701	PBANKA_0008701.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_4:9,538..9,984(+)	PIR protein, pseudogene	Yes	1	3	3	N/A	444
PBANKA_0008801	PBANKA_0008801.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_5:11..697(+)	PIR protein, pseudogene	Yes	1	3	3	N/A	597
PBANKA_0008901	PBANKA_0008901.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_5:2,241..2,994(+)	PIR protein, pseudogene	Yes	1	5	5	N/A	657
PBANKA_0009101	PBANKA_0009101.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_5:4,502..5,286(+)	PIR protein, pseudogene	Yes	1	5	5	N/A	690
PBANKA_0100021	PBANKA_0100021.1	P. berghei ANKA	PbANKA_01_v3:1,098..2,047(-)	fam-b protein	No	1	2	2	N/A	777
PBANKA_0100041	PBANKA_0100041.1	P. berghei ANKA	PbANKA_01_v3:8,896..14,118(+)	conserved rodent malaria protein, unknown function	No	1	1	1	N/A	5223
PBANKA_0100061	PBANKA_0100061.1	P. berghei ANKA	PbANKA_01_v3:21,970..22,548(-)	fam-c protein	No	1	2	2	N/A	411
PBANKA_0100081	PBANKA_0100081.1	P. berghei ANKA	PbANKA_01_v3:24,218..25,286(-)	PIR protein, pseudogene	Yes	1	6	6	N/A	876
PBANKA_0100100	PBANKA_0100100.1	P. berghei ANKA	PbANKA_01_v3:26,371..27,916(+)	fam-a protein	No	1	6	6	N/A	795
PBANKA_0100200	PBANKA_0100200.1	P. berghei ANKA	PbANKA_01_v3:29,285..30,482(+)	Plasmodium exported protein, unknown function	No	1	2	2	N/A	1026
PBANKA_0100300	PBANKA_0100300.1	P. berghei ANKA	PbANKA_01_v3:33,270..34,584(+)	lysophospholipase, putative, pseudogene	Yes	1	7	7	N/A	1305
PBANKA_0100400	PBANKA_0100400.1	P. berghei ANKA	PbANKA_01_v3:36,844..38,783(+)	reticulocyte binding protein, putative	No	1	2	2	Pb235	1842
PBANKA_0100500	PBANKA_0100500.1	P. berghei ANKA	PbANKA_01_v3:40,052..41,483(-)	PIR protein	No	1	3	3	N/A	1056
PBANKA_0100600	PBANKA_0100600.1	P. berghei ANKA	PbANKA_01_v3:42,789..43,271(+)	schizont membrane associated cytoadherence protein	No	1	1	1	SMAC	483
PBANKA_0100700	PBANKA_0100700.1	P. berghei ANKA	PbANKA_01_v3:45,315..46,473(+)	Plasmodium exported protein, unknown function	No	1	2	2	N/A	966
PBANKA_0100800	PBANKA_0100800.1	P. berghei ANKA	PbANKA_01_v3:47,559..51,707(-)	zinc finger protein, putative	No	1	1	1	N/A	4149
PBANKA_0100900	PBANKA_0100900.1	P. berghei ANKA	PbANKA_01_v3:56,253..60,273(+)	ATP-dependent RNA helicase, putative	No	1	2	2	N/A	3903
PBANKA_0101000	PBANKA_0101000.1	P. berghei ANKA	PbANKA_01_v3:61,396..62,666(+)	MYND-type zinc finger protein, putative	No	1	3	3	N/A	789
PBANKA_0101100	PBANKA_0101100.1	P. berghei ANKA	PbANKA_01_v3:63,665..64,618(+)	liver merozoite formation protein	No	1	1	1	PALM	954
PBANKA_0101200	PBANKA_0101200.1	P. berghei ANKA	PbANKA_01_v3:65,221..68,380(-)	elongation factor G, putative	No	1	4	4	EF-G	2769
PBANKA_0101300	PBANKA_0101300.1	P. berghei ANKA	PbANKA_01_v3:69,076..70,230(+)	geranylgeranyl transferase type-2 subunit beta, putative	No	1	1	1	N/A	1155
PBANKA_0101400	PBANKA_0101400.1	P. berghei ANKA	PbANKA_01_v3:70,637..75,081(-)	SAC3 domain-containing protein, putative	No	1	5	5	N/A	3606
PBANKA_0101500	PBANKA_0101500.1	P. berghei ANKA	PbANKA_01_v3:77,684..79,087(-)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	1404
PBANKA_0101600	PBANKA_0101600.1	P. berghei ANKA	PbANKA_01_v3:79,755..81,779(+)	JmjC domain-containing protein, putative	No	1	1	1	JmjC2	2025
PBANKA_0101700	PBANKA_0101700.1	P. berghei ANKA	PbANKA_01_v3:82,175..83,622(-)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	1326
PBANKA_0101800	PBANKA_0101800.1	P. berghei ANKA	PbANKA_01_v3:85,535..87,034(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	1500
PBANKA_0101900	PBANKA_0101900.1	P. berghei ANKA	PbANKA_01_v3:88,330..89,766(-)	RNA-binding protein, putative	No	1	1	1	N/A	1437
PBANKA_0102000	PBANKA_0102000.1	P. berghei ANKA	PbANKA_01_v3:92,030..93,454(+)	mitochondrial chaperone BCS1, putative	No	1	1	1	BCS1	1425
PBANKA_0102100	PBANKA_0102100.1	P. berghei ANKA	PbANKA_01_v3:94,042..95,595(-)	dihydroorotate dehydrogenase, putative	No	1	1	1	DHODH	1554
PBANKA_0102200	PBANKA_0102200.1	P. berghei ANKA	PbANKA_01_v3:96,818..99,523(-)	trophozoite exported protein 1, putative	No	1	1	1	TEX1	2706
PBANKA_0102300	PBANKA_0102300.1	P. berghei ANKA	PbANKA_01_v3:102,681..104,003(+)	cation/H+ antiporter	No	1	1	1	CAX	1323
PBANKA_0102400	PBANKA_0102400.1	P. berghei ANKA	PbANKA_01_v3:104,749..110,663(-)	conserved Plasmodium protein, unknown function	No	1	3	3	N/A	5526
PBANKA_0102500	PBANKA_0102500.1	P. berghei ANKA	PbANKA_01_v3:112,462..113,895(+)	phenylalanine--tRNA ligase, putative	No	1	1	1	N/A	1434
PBANKA_0102600	PBANKA_0102600.1	P. berghei ANKA	PbANKA_01_v3:113,956..121,877(-)	centrosomal protein CEP76, putative	No	1	20	20	CEP76	5565
PBANKA_0102700	PBANKA_0102700.1	P. berghei ANKA	PbANKA_01_v3:122,663..123,781(-)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	1119
PBANKA_0102800	PBANKA_0102800.1	P. berghei ANKA	PbANKA_01_v3:125,050..129,579(-)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	4530
PBANKA_0102900	PBANKA_0102900.1	P. berghei ANKA	PbANKA_01_v3:130,777..136,563(-)	AP2 domain transcription factor, putative	No	1	1	1	SIP2	5787
PBANKA_0103000	PBANKA_0103000.1	P. berghei ANKA	PbANKA_01_v3:140,282..141,004(+)	mitochondrial ribosomal protein L41, putative	No	1	3	3	N/A	282
PBANKA_0103100	PBANKA_0103100.1	P. berghei ANKA	PbANKA_01_v3:141,669..143,660(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	1992
PBANKA_0103200	PBANKA_0103200.1	P. berghei ANKA	PbANKA_01_v3:144,470..145,601(+)	conserved protein, unknown function	No	1	4	4	N/A	582
PBANKA_0103300	PBANKA_0103300.1	P. berghei ANKA	PbANKA_01_v3:148,463..155,002(+)	conserved Plasmodium protein, unknown function	No	1	4	4	N/A	6102
PBANKA_0103400	PBANKA_0103400.1	P. berghei ANKA	PbANKA_01_v3:155,566..157,169(-)	glyoxalase I-like protein GILP, putative	No	1	6	6	GILP	954
PBANKA_0103500	PBANKA_0103500.1	P. berghei ANKA	PbANKA_01_v3:157,943..162,247(-)	RAP protein, putative	No	1	1	1	N/A	4305
PBANKA_0103700	PBANKA_0103700.1	P. berghei ANKA	PbANKA_01_v3:163,005..163,640(-)	conserved Plasmodium protein, unknown function	No	1	3	3	N/A	285
PBANKA_0103800	PBANKA_0103800.1	P. berghei ANKA	PbANKA_01_v3:164,310..164,894(+)	50S ribosomal protein L24, putative	No	1	1	1	N/A	585
PBANKA_0103900	PBANKA_0103900.1	P. berghei ANKA	PbANKA_01_v3:168,401..170,608(+)	RNA-binding protein, putative	No	1	1	1	N/A	2208
PBANKA_0104000	PBANKA_0104000.1	P. berghei ANKA	PbANKA_01_v3:171,686..173,060(-)	conserved protein, unknown function	No	1	6	6	N/A	636
PBANKA_0104100	PBANKA_0104100.1	P. berghei ANKA	PbANKA_01_v3:173,897..175,356(+)	serine/threonine protein kinase, putative	No	1	4	4	ARK1	1062
PBANKA_0104200	PBANKA_0104200.1	P. berghei ANKA	PbANKA_01_v3:175,962..176,435(-)	calcium-binding protein, putative	No	1	1	1	N/A	474
PBANKA_0104300	PBANKA_0104300.1	P. berghei ANKA	PbANKA_01_v3:176,651..178,580(-)	cyclin dependent kinase binding protein, putative	No	1	2	2	N/A	1797
PBANKA_0104400	PBANKA_0104400.1	P. berghei ANKA	PbANKA_01_v3:179,179..185,103(-)	nucleoside diphosphate kinase, putative	No	1	7	7	N/A	4974
PBANKA_0104500	PBANKA_0104500.1	P. berghei ANKA	PbANKA_01_v3:187,036..187,815(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	780
PBANKA_0104600	PBANKA_0104600.1	P. berghei ANKA	PbANKA_01_v3:188,330..193,927(-)	DNA repair protein RAD50, putative	No	1	1	1	RAD50	5598
PBANKA_0104700	PBANKA_0104700.1	P. berghei ANKA	PbANKA_01_v3:196,519..198,072(+)	long chain polyunsaturated fatty acid elongation enzyme, putative	No	1	5	5	N/A	867
PBANKA_0104800	PBANKA_0104800.1	P. berghei ANKA	PbANKA_01_v3:198,567..201,569(-)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	3003
PBANKA_0104900	PBANKA_0104900.1	P. berghei ANKA	PbANKA_01_v3:204,670..206,858(+)	RNA-binding protein, putative	No	1	4	4	N/A	1701
PBANKA_0105000	PBANKA_0105000.1	P. berghei ANKA	PbANKA_01_v3:207,928..208,744(-)	ubiquitin-conjugating enzyme E2 PEX4, putative	No	1	5	5	PEX4	450
PBANKA_0105100	PBANKA_0105100.1	P. berghei ANKA	PbANKA_01_v3:210,136..210,904(-)	conserved Plasmodium protein, unknown function	No	1	5	5	N/A	375
PBANKA_0105200	PBANKA_0105200.1	P. berghei ANKA	PbANKA_01_v3:211,904..214,468(-)	polypyrimidine tract-binding protein, putative	No	1	5	5	PTB	1965
PBANKA_0105300	PBANKA_0105300.1	P. berghei ANKA	PbANKA_01_v3:216,483..221,962(-)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	5337
PBANKA_0105400	PBANKA_0105400.1	P. berghei ANKA	PbANKA_01_v3:224,533..229,071(+)	coatomer alpha subunit, putative	No	1	4	4	N/A	4152
PBANKA_0105500	PBANKA_0105500.1	P. berghei ANKA	PbANKA_01_v3:230,049..230,699(-)	glutaredoxin-like protein	No	1	1	1	GLP2	651
PBANKA_0105600	PBANKA_0105600.1	P. berghei ANKA	PbANKA_01_v3:233,100..235,901(+)	translation initiation factor IF-2, putative	No	1	1	1	N/A	2802
PBANKA_0105700	PBANKA_0105700.1	P. berghei ANKA	PbANKA_01_v3:236,912..240,021(+)	MYND-type zinc finger protein, putative	No	1	16	16	N/A	1407
PBANKA_0105800	PBANKA_0105800.1	P. berghei ANKA	PbANKA_01_v3:240,576..241,896(-)	RING zinc finger protein, putative	No	1	2	2	N/A	1164
PBANKA_0105900	PBANKA_0105900.1	P. berghei ANKA	PbANKA_01_v3:242,994..244,392(+)	uroporphyrinogen III decarboxylase	No	1	2	2	UROD	1260
PBANKA_0106000	PBANKA_0106000.1	P. berghei ANKA	PbANKA_01_v3:244,883..248,217(-)	G-protein associated signal transduction protein, putative	No	1	13	13	N/A	1902
PBANKA_0106100	PBANKA_0106100.1	P. berghei ANKA	PbANKA_01_v3:249,342..250,724(+)	4-hydroxybenzoate polyprenyltransferase, putative	No	1	1	1	COQ2	1383
PBANKA_0106200	PBANKA_0106200.1	P. berghei ANKA	PbANKA_01_v3:251,097..253,855(-)	spindle assembly abnormal protein 6	No	1	5	5	SAS6	2259
PBANKA_0106300	PBANKA_0106300.1	P. berghei ANKA	PbANKA_01_v3:258,200..264,727(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	6528
PBANKA_0106400	PBANKA_0106400.1	P. berghei ANKA	PbANKA_01_v3:265,588..267,452(-)	GTP-binding protein, putative	No	1	2	2	N/A	1671
PBANKA_0106500	PBANKA_0106500.1	P. berghei ANKA	PbANKA_01_v3:268,315..270,678(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	2364
PBANKA_0106600	PBANKA_0106600.1	P. berghei ANKA	PbANKA_01_v3:270,985..273,139(-)	diphthine methyltransferase, putative	No	1	12	12	DPH7	1056
PBANKA_0106700	PBANKA_0106700.1	P. berghei ANKA	PbANKA_01_v3:273,659..277,192(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	3534
PBANKA_0106800	PBANKA_0106800.1	P. berghei ANKA	PbANKA_01_v3:277,341..278,201(-)	conserved Plasmodium protein, unknown function	No	1	4	4	N/A	477
PBANKA_0106900	PBANKA_0106900.1	P. berghei ANKA	PbANKA_01_v3:278,666..281,917(+)	heptatricopeptide repeat-containing protein, putative	No	1	1	1	N/A	3252
PBANKA_0106950	PBANKA_0106950.1	P. berghei ANKA	PbANKA_01_v3:282,506..283,870(+)	sorting assembly machinery 50 kDa subunit, putative	No	1	1	1	SAM50	1365
PBANKA_0107000	PBANKA_0107000.1	P. berghei ANKA	PbANKA_01_v3:284,338..284,748(-)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	321
PBANKA_0107100	PBANKA_0107100.1	P. berghei ANKA	PbANKA_01_v3:285,801..286,753(-)	proteasome subunit alpha type-2, putative	No	1	2	2	N/A	708
PBANKA_0107200	PBANKA_0107200.1	P. berghei ANKA	PbANKA_01_v3:288,589..289,663(+)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	690
PBANKA_0107300	PBANKA_0107300.1	P. berghei ANKA	PbANKA_01_v3:291,081..292,796(+)	T-complex protein 1 subunit zeta, putative	No	1	2	2	CCT6	1632
PBANKA_0107400	PBANKA_0107400.1	P. berghei ANKA	PbANKA_01_v3:294,827..296,071(+)	ornithine aminotransferase, putative	No	1	1	1	OAT	1245
PBANKA_0107500	PBANKA_0107500.1	P. berghei ANKA	PbANKA_01_v3:297,139..299,950(+)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	2616
PBANKA_0107600	PBANKA_0107600.1	P. berghei ANKA	PbANKA_01_v3:301,998..318,320(+)	nucleoporin NUP637, putative	No	1	1	1	NUP637	16323
PBANKA_0107700	PBANKA_0107700.1	P. berghei ANKA	PbANKA_01_v3:318,879..320,670(-)	zinc transporter ZIP1	No	1	7	7	ZIP1	1035
PBANKA_0107800	PBANKA_0107800.1	P. berghei ANKA	PbANKA_01_v3:322,206..323,736(+)	citrate synthase-like protein, putative	No	1	2	2	N/A	1344
PBANKA_0107900	PBANKA_0107900.1	P. berghei ANKA	PbANKA_01_v3:324,834..327,357(+)	conserved Plasmodium protein, unknown function	No	1	2	2	N/A	2322
PBANKA_0108000	PBANKA_0108000.1	P. berghei ANKA	PbANKA_01_v3:327,781..329,589(-)	mitochondrial cardiolipin synthase, putative	No	1	1	1	CLS	1809
PBANKA_0108100	PBANKA_0108100.1	P. berghei ANKA	PbANKA_01_v3:330,792..335,330(+)	conserved Plasmodium protein, unknown function	No	1	10	10	N/A	3330
PBANKA_0108200	PBANKA_0108200.1	P. berghei ANKA	PbANKA_01_v3:337,150..342,054(+)	conserved Plasmodium protein, unknown function	No	1	3	3	N/A	4734
PBANKA_0108300	PBANKA_0108300.1	P. berghei ANKA	PbANKA_01_v3:343,077..344,303(-)	palmitoyltransferase DHHC2	No	1	4	4	DHHC2	855
PBANKA_0108400	PBANKA_0108400.1	P. berghei ANKA	PbANKA_01_v3:347,207..352,450(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	5244
PBANKA_0108500	PBANKA_0108500.1	P. berghei ANKA	PbANKA_01_v3:353,132..354,372(+)	mitochondrial ribosomal protein L19 precursor, putative	No	1	3	3	N/A	954
PBANKA_0108600	PBANKA_0108600.1	P. berghei ANKA	PbANKA_01_v3:354,635..356,417(-)	pre-mRNA-splicing factor SLU7, putative	No	1	3	3	SLU7	1290
PBANKA_0108700	PBANKA_0108700.1	P. berghei ANKA	PbANKA_01_v3:357,597..359,636(-)	RNA-binding protein 25, putative	No	1	1	1	RBM25	2040
PBANKA_0108800	PBANKA_0108800.1	P. berghei ANKA	PbANKA_01_v3:363,203..363,613(+)	histone H3, putative	No	1	1	1	N/A	411
PBANKA_0108900	PBANKA_0108900.1	P. berghei ANKA	PbANKA_01_v3:364,126..364,699(-)	peptidyl-tRNA hydrolase PTRHD1, putative	No	1	2	2	N/A	372
PBANKA_0109000	PBANKA_0109000.1	P. berghei ANKA	PbANKA_01_v3:366,467..367,448(+)	conserved Plasmodium protein, unknown function	No	1	3	3	N/A	258
PBANKA_0109100	PBANKA_0109100.1	P. berghei ANKA	PbANKA_01_v3:367,720..369,732(+)	transketolase, putative	No	1	1	1	TK	2013
PBANKA_0109200	PBANKA_0109200.1	P. berghei ANKA	PbANKA_01_v3:370,462..373,986(-)	transcription elongation factor SPT5, putative	No	1	1	1	SPT5	3525
PBANKA_0109300	PBANKA_0109300.1	P. berghei ANKA	PbANKA_01_v3:375,602..376,720(-)	SNARE associated Golgi protein, putative	No	1	3	3	N/A	870
PBANKA_0109400	PBANKA_0109400.1	P. berghei ANKA	PbANKA_01_v3:378,228..378,494(-)	succinate dehydrogenase subunit 3, putative	No	1	1	1	SDH3	267
PBANKA_0109500	PBANKA_0109500.1	P. berghei ANKA	PbANKA_01_v3:379,499..380,595(+)	AP2 domain transcription factor, putative	No	1	3	3	ApiAP2	840
PBANKA_0109600	PBANKA_0109600.1	P. berghei ANKA	PbANKA_01_v3:381,814..382,954(+)	ATP synthase-associated protein, putative	No	1	3	3	N/A	843
PBANKA_0109700	PBANKA_0109700.1	P. berghei ANKA	PbANKA_01_v3:383,303..385,711(-)	SWIB/MDM2 domain-containing protein, putative	No	1	1	1	SWIB	2409
PBANKA_0109800	PBANKA_0109800.1	P. berghei ANKA	PbANKA_01_v3:392,770..393,882(-)	conserved protein, unknown function	No	1	1	1	N/A	1113
PBANKA_0109900	PBANKA_0109900.1	P. berghei ANKA	PbANKA_01_v3:395,262..397,115(-)	basal complex transmembrane protein 1, putative	No	1	1	1	BTP1	1854
PBANKA_0110000	PBANKA_0110000.1	P. berghei ANKA	PbANKA_01_v3:398,398..398,874(-)	60S ribosomal protein L39, putative	No	1	3	3	N/A	156
PBANKA_0110100	PBANKA_0110100.1	P. berghei ANKA	PbANKA_01_v3:400,224..408,553(-)	conserved Plasmodium protein, unknown function	No	1	5	5	N/A	7836
PBANKA_0110200	PBANKA_0110200.1	P. berghei ANKA	PbANKA_01_v3:411,711..412,630(+)	lsm12, putative	No	1	3	3	N/A	537
PBANKA_0110300	PBANKA_0110300.1	P. berghei ANKA	PbANKA_01_v3:413,202..413,673(-)	conserved Plasmodium protein, unknown function	No	1	3	3	N/A	171
PBANKA_0110400	PBANKA_0110400.1	P. berghei ANKA	PbANKA_01_v3:414,620..416,326(-)	eukaryotic translation initiation factor 3 subunit L, putative	No	1	1	1	EIF3L	1707
PBANKA_0110500	PBANKA_0110500.1	P. berghei ANKA	PbANKA_01_v3:417,832..424,673(-)	leucine-rich repeat protein	No	1	8	8	LRR6	6105
PBANKA_0110600	PBANKA_0110600.1	P. berghei ANKA	PbANKA_01_v3:425,950..426,303(+)	transmembrane protein 234, putative	No	1	1	1	TMEM234	354
PBANKA_0110700	PBANKA_0110700.1	P. berghei ANKA	PbANKA_01_v3:426,330..427,034(+)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	705
PBANKA_0110800	PBANKA_0110800.1	P. berghei ANKA	PbANKA_01_v3:427,379..427,738(-)	conserved Plasmodium protein, unknown function	No	1	1	1	N/A	360
PBANKA_0110900	PBANKA_0110900.1	P. berghei ANKA	PbANKA_01_v3:428,391..429,608(-)	cytoplasmic tRNA 2-thiolation protein 1, putative	No	1	1	1	NCS6	1218
PBANKA_0111000	PBANKA_0111000.1	P. berghei ANKA	PbANKA_01_v3:430,565..431,569(-)	6-cysteine protein P12, putative	No	1	1	1	P12	1005
PBANKA_0111100	PBANKA_0111100.1	P. berghei ANKA	PbANKA_01_v3:432,195..433,178(-)	6-cysteine protein	No	1	1	1	P12p	984
PBANKA_0111200	PBANKA_0111200.1	P. berghei ANKA	PbANKA_01_v3:435,297..437,330(+)	nucleolar GTP-binding protein 1, putative	No	1	1	1	NOG1	2034
PBANKA_0111300	PBANKA_0111300.1	P. berghei ANKA	PbANKA_01_v3:438,265..440,094(-)	conserved Plasmodium protein, unknown function	No	2	7	5	N/A	345
PBANKA_0111300	PBANKA_0111300.2	P. berghei ANKA	PbANKA_01_v3:438,265..440,094(-)	conserved Plasmodium protein, unknown function	No	2	7	6	N/A	354
